OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,POP_M,POP_F,POP_SC,POP_ST,POP_TOTAL,AREA_SQ_KM,LAT,LON,RESERVATIO,TOT_HH
99.0,164,Gandhi Nagar,77.0,Dattatreya Temple,17640.0,16596.0,3351.0,256.0,34236.0,0.71,12.9965554677515,77.5741380029964,General,
100.0,164,Gandhi Nagar,94.0,Gandhinagar,19566.0,15744.0,6153.0,167.0,35310.0,1.93,12.9815648080642,77.5756650129311,General,
101.0,164,Gandhi Nagar,95.0,Subhash Nagar,18163.0,17264.0,11378.0,441.0,35427.0,1.32,12.9826668015183,77.5686274619372,Scheduled Caste,
102.0,164,Gandhi Nagar,96.0,Okalipuram,18609.0,17266.0,6352.0,287.0,35875.0,0.83,12.9827837272182,77.563816623965,Scheduled Caste (Woman),
103.0,165,Rajaji Nagar,100.0,Basaveshwara Nagar,14204.0,12798.0,1236.0,234.0,27002.0,0.84,12.9908084449253,77.5421301173104,Backward Category - A,
104.0,165,Rajaji Nagar,101.0,Kamakshipalya,13638.0,12104.0,2004.0,321.0,25742.0,0.91,12.9867975705395,77.5338707039502,General,
105.0,165,Rajaji Nagar,107.0,Shivanagara,18940.0,17039.0,858.0,271.0,35979.0,0.78,12.9885035896526,77.5495200478752,General,
106.0,165,Rajaji Nagar,108.0,Sriramamandir,17348.0,16265.0,905.0,285.0,33613.0,1.06,12.9837673095898,77.5558908790906,Backward Category A (Women),
107.0,165,Rajaji Nagar,97.0,Dayananda Nagar,17767.0,16828.0,10651.0,170.0,34595.0,0.45,12.9910970569635,77.5641946734242,Scheduled Caste (Woman),
108.0,165,Rajaji Nagar,98.0,Prakash Nagar,18641.0,16824.0,1994.0,140.0,35465.0,0.56,12.9930942205099,77.5582212219401,General,
109.0,165,Rajaji Nagar,99.0,Rajaji Nagar,17221.0,16010.0,2175.0,241.0,33231.0,0.86,12.9945988368238,77.5501925896872,Backward Category - A,
110.0,166,Govindaraja Nagar,103.0,Kaveripura,19274.0,15982.0,924.0,524.0,35256.0,1.64,12.9797422678665,77.5248978783418,Backward Category - A,
111.0,166,Govindaraja Nagar,104.0,Govindaraja Nagar,13565.0,12208.0,2278.0,274.0,25773.0,0.77,12.9771164127201,77.5366824799528,Backward Category - A,
112.0,166,Govindaraja Nagar,105.0,Agrahara Dasarahalli,14141.0,12716.0,3172.0,433.0,26857.0,0.8,12.9804974028429,77.5415353943762,Backward Category A (Women),
113.0,166,Govindaraja Nagar,106.0,Dr. Raj Kumar Ward,13012.0,11740.0,2111.0,335.0,24752.0,0.99,12.979654172134,77.5484753583426,General,
114.0,166,Govindaraja Nagar,125.0,Marenahalli,10430.0,9638.0,698.0,391.0,20068.0,0.69,12.9718892616902,77.5328436441007,Backward Category A (Women),
115.0,166,Govindaraja Nagar,126.0,Maruthi Mandir ward,11421.0,10363.0,1072.0,285.0,21784.0,0.79,12.9667105528406,77.5284643519759,General,
116.0,166,Govindaraja Nagar,127.0,Mudalapalya,12816.0,11671.0,854.0,529.0,24487.0,0.98,12.9692392151885,77.521640582415,Backward Category A (Women),
117.0,166,Govindaraja Nagar,128.0,Nagarabhavi,10408.0,9861.0,1343.0,123.0,20269.0,1.6,12.9558427307937,77.519366146173,General,
118.0,166,Govindaraja Nagar,131.0,Nayandahalli,11987.0,10891.0,3499.0,379.0,22878.0,2.07,12.9451408764406,77.5199607392573,General (Women),
119.0,167,Vijaya Nagar,122.0,Kempapura Agrahara,17355.0,16381.0,894.0,914.0,33736.0,0.36,12.9723126235624,77.5554793838085,Backward Category A (Women),
120.0,167,Vijaya Nagar,123.0,Vijayanagar,19009.0,17068.0,1297.0,258.0,36077.0,0.73,12.9720925542614,77.5470438346722,General,
121.0,167,Vijaya Nagar,124.0,Hosahalli,16662.0,15441.0,3613.0,403.0,32103.0,0.89,12.9676691462426,77.5438119924571,Backward Category - A,
122.0,167,Vijaya Nagar,132.0,Attiguppe,13989.0,12817.0,1318.0,237.0,26806.0,1.39,12.9581117077057,77.5293089282806,General,
123.0,167,Vijaya Nagar,133.0,Hampi Nagar,15716.0,14639.0,3502.0,414.0,30355.0,1.11,12.959949194647,77.5376145866468,General,
124.0,167,Vijaya Nagar,134.0,Bapuji Nagar,18996.0,17238.0,1564.0,312.0,36234.0,0.68,12.9579760999735,77.5432214136966,Backward Category - A,
125.0,167,Vijaya Nagar,157.0,Gali Anjenaya Temple ward,14466.0,12798.0,1874.0,309.0,27264.0,1.14,12.9501592455071,77.5446560301153,General,
126.0,167,Vijaya Nagar,158.0,Deepanjali Nagar,16655.0,14269.0,1776.0,367.0,30924.0,2.09,12.9445404293539,77.5362326389086,Backward Category A (Women),
127.0,168,Chamarajpet,135.0,Padarayanapura,18371.0,16842.0,378.0,110.0,35213.0,0.31,12.9637025463239,77.5488120504647,Backward Category A (Women),
128.0,168,Chamarajpet,136.0,Jagajivanaramnagar,17570.0,16188.0,5330.0,342.0,33758.0,0.63,12.9605447475681,77.5519414463642,General (Women),
129.0,168,Chamarajpet,137.0,Rayapuram,16928.0,16021.0,10777.0,233.0,32949.0,0.45,12.9649880815167,77.5563781786261,Scheduled Caste,
130.0,168,Chamarajpet,138.0,Chalavadipalya,13181.0,12138.0,12632.0,86.0,25319.0,0.4,12.9645793210376,77.5644482281296,Scheduled Caste,
131.0,168,Chamarajpet,139.0,K R Market,14982.0,13532.0,8845.0,360.0,28514.0,0.81,12.9639680609056,77.5718004624152,Scheduled Caste,
132.0,168,Chamarajpet,140.0,Chamrajapet,17193.0,16205.0,948.0,469.0,33398.0,1.03,12.9581840004128,77.5637756014863,Backward Category - A,
133.0,168,Chamarajpet,141.0,Azad Nagar,18584.0,17157.0,2189.0,780.0,35741.0,0.67,12.9547171397323,77.554027303718,General (Women),
134.0,169,Chickpet,118.0,Sudham Nagara,16552.0,15650.0,8344.0,303.0,32202.0,1.01,12.9593349100093,77.586192712433,Scheduled Caste (Woman),
135.0,169,Chickpet,119.0,Dharmaraya Swamy Temple,18193.0,15006.0,2037.0,108.0,33199.0,1.1,12.963133327422,77.580510578405,Backward Category - A,
136.0,169,Chickpet,142.0,Sunkenahalli,18645.0,17513.0,1966.0,243.0,36158.0,1.49,12.9486914803666,77.5678744056857,General,
137.0,169,Chickpet,143.0,Vishveshwara Puram,18362.0,17731.0,1744.0,188.0,36093.0,2.47,12.9504863664593,77.5798830579196,General,
138.0,169,Chickpet,144.0,Siddapura,16731.0,15463.0,4498.0,186.0,32194.0,0.66,12.9438446355212,77.5930164521246,General,
139.0,169,Chickpet,145.0,Hombegowda Nagara,18693.0,17762.0,3979.0,221.0,36455.0,1.41,12.9505957757457,77.5948740249626,General,
140.0,169,Chickpet,153.0,Jayanagar,18173.0,17790.0,3743.0,220.0,35963.0,2.5,12.9376337000747,77.5894196695984,General (Women),
141.0,170,Basavanagudi,155.0,Hanumanth Nagar,18137.0,16928.0,857.0,290.0,35065.0,0.99,12.9471215024395,77.5598838663128,General (Women),
142.0,170,Basavanagudi,156.0,Srinagar,18793.0,17252.0,272.0,156.0,36045.0,0.8,12.9453275336224,77.5534943697637,General,
143.0,170,Basavanagudi,154.0,Basavanagudi,18396.0,17619.0,956.0,159.0,36015.0,1.17,12.9373753661626,77.5687334210958,General,
144.0,170,Basavanagudi,162.0,Girinagar,18208.0,16704.0,474.0,125.0,34912.0,1.77,12.9376240163993,77.5455754936583,General (Women),
145.0,170,Basavanagudi,163.0,Katriguppe,18769.0,16967.0,574.0,167.0,35736.0,1.11,12.9316414559219,77.5522232871992,Backward Category - A,
146.0,170,Basavanagudi,164.0,Vidyapeeta ward,18083.0,16452.0,1261.0,357.0,34535.0,34535.0,12.9342004520233,77.5594762586734,Backward Category - A,
147.0,171,Padmanaba Nagar,161.0,Hosakerehalli,11041.0,10144.0,1192.0,285.0,21185.0,1.34,12.9277969317167,77.5395058294504,General,
148.0,171,Padmanaba Nagar,165.0,Ganesh Mandir ward,11988.0,11113.0,652.0,179.0,23101.0,1.63,12.9248031449056,77.5640458573888,Backward Category - A,
149.0,171,Padmanaba Nagar,166.0,Karisandra,15445.0,14761.0,2575.0,365.0,30206.0,1.1,12.9243524235242,77.5740169457256,General (Women),
150.0,171,Padmanaba Nagar,167.0,Yediyur,17857.0,16734.0,1111.0,180.0,34591.0,1.23,12.934251739139,77.5760804828518,Backward Category - A,
151.0,171,Padmanaba Nagar,180.0,Banashankari Temple ward,17451.0,16571.0,2548.0,494.0,34022.0,0.68,12.9133515290769,77.5698323279022,General,
152.0,171,Padmanaba Nagar,181.0,Kumaraswamy Layout,18649.0,16735.0,1428.0,426.0,35384.0,1.87,12.9069901964838,77.5618576805592,Backward Category - A,
153.0,171,Padmanaba Nagar,182.0,Padmanabha Nagar,13131.0,12323.0,1150.0,111.0,25454.0,1.68,12.9135013256266,77.5560571929402,General,
154.0,172,B.T.M. Layout,146.0,Lakkasandra,14909.0,13394.0,4562.0,422.0,28303.0,1.29,12.9411090124204,77.6048043772362,General,
155.0,172,B.T.M. Layout,147.0,Adugodi,15676.0,14269.0,5381.0,411.0,29945.0,1.6,12.9432388832612,77.6130791124901,General,
156.0,172,B.T.M. Layout,148.0,Ejipura,15316.0,13789.0,4906.0,499.0,29105.0,1.61,12.9423159169765,77.6270336149298,General (Women),
157.0,172,B.T.M. Layout,151.0,Koramangala,18434.0,16925.0,3246.0,232.0,35359.0,3.71,12.9313404051701,77.6246494460865,Backward Category A (Women),
158.0,172,B.T.M. Layout,152.0,Suddagunte Palya,19341.0,16569.0,3193.0,299.0,35910.0,1.74,12.92997135113,77.6082147179137,General,
159.0,173,Jaya Nagar,178.0,Sarakki,13870.0,12837.0,1379.0,173.0,26707.0,1.34,12.9079402946364,77.5829497522443,General,
160.0,172,B.T.M. Layout,173.0,Jakkasandra,13045.0,11043.0,2829.0,536.0,24088.0,1.52,12.9205909717835,77.6309886977238,General (Women),
161.0,172,B.T.M. Layout,176.0,BTM Layout,18502.0,15934.0,1512.0,247.0,34436.0,2.13,12.9118377209653,77.6093452875564,General,
162.0,173,Jaya Nagar,168.0,Pattabhiram Nagar,15751.0,15238.0,1473.0,179.0,30989.0,1.75,12.9245450128768,77.5875454398899,General,
163.0,173,Jaya Nagar,169.0,Byrasandra,15760.0,14878.0,3767.0,73.0,30638.0,0.87,12.9315978380753,77.5889403697453,Backward Category - A,
164.0,173,Jaya Nagar,179.0,Shakambari Nagar,11733.0,11506.0,607.0,162.0,23239.0,1.85,12.9170881910162,77.5797747306037,Backward Category - A,
165.0,174,Mahadevapura,149.0,Varthuru,13033.0,12034.0,5581.0,183.0,25067.0,26.98,12.935373342926,77.733613606496,General,
166.0,174,Mahadevapura,150.0,Bellanduru,10818.0,9708.0,5838.0,101.0,20526.0,26.37,12.9228741800138,77.6802085907247,Backward Category - B,
167.0,174,Mahadevapura,82.0,Garudachar Playa,11371.0,9549.0,3635.0,364.0,20920.0,6.8,12.9859006423812,77.7172828232259,General,
168.0,174,Mahadevapura,83.0,Kadugodi,12056.0,10149.0,4557.0,172.0,22205.0,11.88,12.9906877302874,77.7579088952072,General,
169.0,174,Mahadevapura,84.0,Hagadur,13523.0,12392.0,3664.0,211.0,25915.0,12.68,12.9660702018756,77.7483647412138,Backward Category - B,
170.0,174,Mahadevapura,85.0,Dodda Nekkundi,11790.0,10226.0,4283.0,343.0,22016.0,12.12,12.9681828471219,77.707823685904,General,
171.0,175,Bommana Halli,174.0,HSR Layout,13215.0,11534.0,2723.0,303.0,24749.0,6.98,12.9137178618362,77.6464258750019,General (Women),
172.0,175,Bommana Halli,175.0,Bommanahalli,13065.0,11242.0,2767.0,138.0,24307.0,1.85,12.9007411057792,77.6212117570716,General,
173.0,175,Bommana Halli,186.0,Jaraganahalli,12519.0,10780.0,830.0,248.0,23299.0,1.28,12.9004208934461,77.5774880640308,General (Women),
174.0,175,Bommana Halli,187.0,Puttenahalli,11094.0,9450.0,1176.0,383.0,20544.0,2.87,12.8973177493566,77.5906030466232,Backward Category - A,
175.0,175,Bommana Halli,188.0,Bilekhalli,12050.0,10460.0,3988.0,260.0,22510.0,4.24,12.8991566741957,77.6101589622278,General (Women),
176.0,175,Bommana Halli,189.0,Hongasandra,12307.0,10751.0,1529.0,282.0,23058.0,2.16,12.8967688850618,77.6275171672937,Backward Category - B (Woman),
177.0,175,Bommana Halli,190.0,Mangammanapalya,14625.0,12766.0,1918.0,159.0,27391.0,3.52,12.8961667446936,77.6418230888484,Backward Category A (Women),
178.0,175,Bommana Halli,191.0,Singasandra,11669.0,9741.0,2955.0,148.0,21410.0,9.42,12.8811660685851,77.6576553298784,General (Women),
179.0,175,Bommana Halli,193.0,Arakere,13429.0,11574.0,3311.0,258.0,25003.0,6.45,12.8792199135841,77.602883732267,General,
180.0,176,Bangalore South,184.0,Uttarahalli,11461.0,10384.0,3960.0,449.0,21845.0,8.99,12.9002644029525,77.5370809453946,Backward Category - A,
181.0,176,Bangalore South,185.0,Yelchenahalli,14896.0,13104.0,2108.0,249.0,28000.0,1.58,12.9002286761175,77.5670140722376,Backward Category - A,
182.0,176,Bangalore South,192.0,Begur,9899.0,9388.0,3488.0,148.0,19287.0,18.8,12.8649996624606,77.6220696892561,Backward Category - B,
183.0,176,Bangalore South,194.0,Gottigere,11402.0,10124.0,3487.0,891.0,21526.0,6.49,12.8605912628746,77.5821324498369,Backward Category - B (Woman),
184.0,176,Bangalore South,195.0,Konankunte,10662.0,9519.0,1032.0,173.0,20181.0,3.42,12.8857748274409,77.5799014456152,General (Women),
185.0,176,Bangalore South,196.0,Anjanapura,10787.0,10293.0,2671.0,226.0,21080.0,11.92,12.8595876761862,77.5632856881322,General,
186.0,150,Yelahanka,1.0,Kempegowda Ward,11490.0,10376.0,1912.0,430.0,21866.0,10.47,13.116188361395,77.5997134995341,Backward Category - B,
187.0,151,K.R. Puram,52.0,K R Puram,13912.0,12573.0,2483.0,491.0,26485.0,5.12,13.0177984033219,77.6984440627829,General,
188.0,154,Rajarajeswari Nagar,129.0,Jnana Bharathi ward,13758.0,12131.0,3732.0,649.0,25889.0,12.19,12.9593058007956,77.5017879872547,Backward Category - B,
189.0,173,Jaya Nagar,170.0,Jayanagar East,15964.0,14882.0,5274.0,188.0,30846.0,1.01,12.9211063701817,77.5986397560155,Backward Category - A,
190.0,173,Jaya Nagar,171.0,Gurappanapalya,18839.0,16989.0,950.0,87.0,35828.0,0.68,12.922866401542,77.6046151492465,General,
191.0,171,Padmanaba Nagar,183.0,Chikkalsandra,12995.0,11682.0,519.0,145.0,24677.0,1.09,12.9216847932897,77.548407399626,General,
192.0,176,Bangalore South,197.0,Vasanthpura,13057.0,11465.0,2425.0,483.0,24522.0,5.34,12.8914219220501,77.556846034107,General (Women),
193.0,173,Jaya Nagar,177.0,J P Nagar,14747.0,13761.0,2497.0,457.0,28508.0,1.79,12.9108817569626,77.5945067654985,Backward Category - A,
194.0,172,B.T.M. Layout,172.0,Madivala,19121.0,16034.0,2658.0,555.0,35155.0,1.16,12.9200182348871,77.6144183930996,Backward Category - A,
195.0,151,K.R. Puram,26.0,Ramamurthy Nagar,11330.0,10669.0,3489.0,247.0,21999.0,7.87,13.033613125226,77.6765386686356,Backward Category - A,
196.0,151,K.R. Puram,25.0,Horamavu,14696.0,13471.0,5677.0,666.0,28167.0,17.32,13.0445613371022,77.6532708062347,General (Women),
197.0,174,Mahadevapura,86.0,Marathahalli,11967.0,10522.0,4126.0,274.0,22489.0,3.1,12.9507430630886,77.6914952440871,General (Women),
198.0,153,Yeshwantpura,198.0,Hemmigepura,12926.0,11385.0,3997.0,319.0,24311.0,28.59,12.8919033428845,77.5050129669143,Backward Category A (Women),
